Symbol,Name,결산월,회계년,주기,asset,conm,regist_num,year
A056730,포스링크,12,2020,Annual,,(주)포스링크,120-81-68259,2020
A056730,포스링크,12,2021,Annual,,(주)포스링크,120-81-68259,2021
A060230,이그잭스,12,2017,Annual,62538155 ,(주)이그잭스,114-81-93374,2017
A060230,이그잭스,12,2018,Annual,70113406 ,(주)이그잭스,114-81-93374,2018
A060230,이그잭스,12,2019,Annual,87603979 ,(주)이그잭스,114-81-93374,2019
A060230,이그잭스,12,2020,Annual,,(주)이그잭스,114-81-93374,2020
A060230,이그잭스,12,2021,Annual,,(주)이그잭스,114-81-93374,2021
A010820,퍼스텍,12,2017,Annual,197157482 ,퍼스텍(주),609-81-01805,2017
A010820,퍼스텍,12,2018,Annual,160686362 ,퍼스텍(주),609-81-01805,2018
A010820,퍼스텍,12,2019,Annual,182110598 ,퍼스텍(주),609-81-01805,2019
A010820,퍼스텍,12,2020,Annual,,퍼스텍(주),609-81-01805,2020
A010820,퍼스텍,12,2021,Annual,,퍼스텍(주),609-81-01805,2021
A134790,시디즈,12,2017,Annual,23322114 ,(주)시디즈,215-87-48121,2017
A134790,시디즈,12,2018,Annual,72030521 ,(주)시디즈,215-87-48121,2018
A134790,시디즈,12,2019,Annual,67071398 ,(주)시디즈,215-87-48121,2019
A134790,시디즈,12,2020,Annual,,(주)시디즈,215-87-48121,2020
A134790,시디즈,12,2021,Annual,,(주)시디즈,215-87-48121,2021
A003720,삼영화학,12,2017,Annual,112737912 ,삼영화학공업(주),113-81-06556,2017
A003720,삼영화학,12,2018,Annual,105230478 ,삼영화학공업(주),113-81-06556,2018
A003720,삼영화학,12,2019,Annual,106971164 ,삼영화학공업(주),113-81-06556,2019
A003720,삼영화학,12,2020,Annual,,삼영화학공업(주),113-81-06556,2020
A003720,삼영화학,12,2021,Annual,,삼영화학공업(주),113-81-06556,2021
A004080,신흥,12,2017,Annual,131257804 ,(주)신흥,114-81-43063,2017
A004080,신흥,12,2018,Annual,132689386 ,(주)신흥,114-81-43063,2018
A004080,신흥,12,2019,Annual,146698326 ,(주)신흥,114-81-43063,2019
A004080,신흥,12,2020,Annual,,(주)신흥,114-81-43063,2020
A004080,신흥,12,2021,Annual,,(주)신흥,114-81-43063,2021
A052670,제일바이오,12,2017,Annual,32880724 ,(주)제일바이오,134-81-01956,2017
A052670,제일바이오,12,2018,Annual,32331319 ,(주)제일바이오,134-81-01956,2018
A052670,제일바이오,12,2019,Annual,34648173 ,(주)제일바이오,134-81-01956,2019
A052670,제일바이오,12,2020,Annual,,(주)제일바이오,134-81-01956,2020
A052670,제일바이오,12,2021,Annual,,(주)제일바이오,134-81-01956,2021
A131400,액트,12,2017,Annual,73771196 ,(주)액트,503-81-63589,2017
A131400,액트,12,2018,Annual,66658666 ,(주)액트,503-81-63589,2018
A131400,액트,12,2019,Annual,78274536 ,(주)액트,503-81-63589,2019
A131400,액트,12,2020,Annual,,(주)액트,503-81-63589,2020
A131400,액트,12,2021,Annual,,(주)액트,503-81-63589,2021
A001290,상상인증권,12,2017,Annual,856455508 ,(주)상상인증권,116-81-14318,2017
A001290,상상인증권,12,2018,Annual,499843166 ,(주)상상인증권,116-81-14318,2018
A001290,상상인증권,12,2019,Annual,471442234 ,(주)상상인증권,116-81-14318,2019
A001290,상상인증권,12,2020,Annual,,(주)상상인증권,116-81-14318,2020
A001290,상상인증권,12,2021,Annual,,(주)상상인증권,116-81-14318,2021
A053590,한국테크놀로지,12,2017,Annual,65226072 ,(주)한국테크놀로지,123-81-44182,2017
A053590,한국테크놀로지,12,2018,Annual,34762104 ,(주)한국테크놀로지,123-81-44182,2018
A053590,한국테크놀로지,12,2019,Annual,167180236 ,(주)한국테크놀로지,123-81-44182,2019
A053590,한국테크놀로지,12,2020,Annual,,(주)한국테크놀로지,123-81-44182,2020
A053590,한국테크놀로지,12,2021,Annual,,(주)한국테크놀로지,123-81-44182,2021
A124500,아이티센,12,2017,Annual,172136603 ,(주)아이티센,120-86-81451,2017
A124500,아이티센,12,2018,Annual,403417388 ,(주)아이티센,120-86-81451,2018
A124500,아이티센,12,2019,Annual,392923342 ,(주)아이티센,120-86-81451,2019
A124500,아이티센,12,2020,Annual,,(주)아이티센,120-86-81451,2020
A124500,아이티센,12,2021,Annual,,(주)아이티센,120-86-81451,2021
A035620,바른손이앤에이,12,2017,Annual,72073730 ,(주)바른손이앤에이,220-81-41526,2017
A035620,바른손이앤에이,12,2018,Annual,113995488 ,(주)바른손이앤에이,220-81-41526,2018
A035620,바른손이앤에이,12,2019,Annual,103169274 ,(주)바른손이앤에이,220-81-41526,2019
A035620,바른손이앤에이,12,2020,Annual,,(주)바른손이앤에이,220-81-41526,2020
A035620,바른손이앤에이,12,2021,Annual,,(주)바른손이앤에이,220-81-41526,2021
A023770,플레이위드,12,2017,Annual,87974851 ,(주)플레이위드,306-81-06027,2017
A023770,플레이위드,12,2018,Annual,79291128 ,(주)플레이위드,306-81-06027,2018
A023770,플레이위드,12,2019,Annual,122707636 ,(주)플레이위드,306-81-06027,2019
A023770,플레이위드,12,2020,Annual,,(주)플레이위드,306-81-06027,2020
A023770,플레이위드,12,2021,Annual,,(주)플레이위드,306-81-06027,2021
A267290,경동도시가스,12,2017,Annual,710280194 ,(주)경동도시가스,143-81-32491,2017
A267290,경동도시가스,12,2018,Annual,778269612 ,(주)경동도시가스,143-81-32491,2018
